sample,plot,treatment,species,diameter,date,time,solaradjustment,solartime,licornotes,S,E,A,WUE,gsw,notes
213,O,Ambient,ABLA,1.2,9/16/2019,12:10,0:57,11:13,LICOR leaves = entire leaf sample,3.197,0.363142569,0.738166843,2.032719121,0.010863046,
216,O,Ambient,ABLA,4.95,9/16/2019,12:23,0:57,11:26,Separate LICOR leaf sample,8.52,0.231575113,1.121185254,4.841561945,0.006710108,
217,P,Drought,PIEN,1.23,9/16/2019,11:30,0:57,10:33,LICOR leaves = entire leaf sample,3.856,0.315930605,0.462142146,1.462796379,0.009402033,
221,P,Drought,ABLA,2.54,9/16/2019,11:39,0:57,10:42,Separate LICOR leaf sample,2.508,0.420781358,1.420447204,3.375737013,0.012715273,
232,P,Ambient,ABLA,0.98,9/16/2019,11:35,0:57,10:38,LICOR leaves = entire leaf sample,2.508,0.477451648,1.882194677,3.942168147,0.014492731,
233,P,Ambient,ABLA,2.24,9/16/2019,11:42,0:57,10:45,Separate LICOR leaf sample,2.424,0.521032936,1.602830426,3.076255481,0.015840383,
237,Q,Drought,PIEN,1.94,9/16/2019,11:02,0:57,10:05,Separate LICOR leaf sample,2.791,0.375445561,0.109306532,0.291138165,0.012015702,
239,Q,Drought,ABLA,0.65,9/16/2019,10:57,0:57,10:00,LICOR leaves = entire leaf sample,0.529,1.492179499,-0.313158529,-0.209866527,0.051132742,
242,Q,Drought,ABLA,0.9,9/16/2019,11:00,0:57,10:03,LICOR leaves = entire leaf sample,2.164,0.652577954,0.237544844,0.364009913,0.021453537,
246,Q,Ambient,PIEN,1.92,9/16/2019,11:09,0:57,10:12,Separate LICOR leaf sample,4.26,0.208387534,0.642519333,3.083290641,0.00651502,
251,Q,Ambient,ABLA,1,9/16/2019,10:54,0:57,9:57,LICOR leaves = entire leaf sample,1.519,1.087416863,1.27063601,1.168490257,0.036797317,
252,Q,Ambient,ABLA,0.95,9/16/2019,10:52,0:57,9:55,LICOR leaves = entire leaf sample,2.872,1.293699961,1.624637608,1.25580711,0.045575248,
255,R,Drought,ABLA,3.65,9/16/2019,10:36,0:57,9:39,Separate LICOR leaf sample,5.89,0.409530258,1.135029129,2.771539114,0.013972604,
257,R,Drought,PIEN,1.4,9/16/2019,10:23,0:57,9:26,LICOR leaves = entire leaf sample,4.456,0.180984599,0.238806579,1.319485637,0.00601587,
259,R,Drought,PIEN,1.3,9/16/2019,10:29,0:57,9:32,LICOR leaves = entire leaf sample,2.485,0.994515828,-0.257937649,-0.259360024,0.036097109,
265,R,Ambient,ABLA,3.05,9/16/2019,10:39,0:57,9:42,Separate LICOR leaf sample,3.732,0.517541279,1.737282861,3.356800571,0.01793428,
268,R,Ambient,PIEN,1.02,9/16/2019,10:27,0:57,9:30,LICOR leaves = entire leaf sample,1.845,2.121680895,2.428176796,1.144459,0.084739777,
274,R,Ambient,PIEN,1.69,9/16/2019,10:33,0:57,9:36,LICOR leaves = entire leaf sample,8.835,2.420205931,1.49142123,0.616237325,0.14827305,
276,S,Drought,ABLA,2.53,9/16/2019,10:04,0:57,9:07,Separate LICOR leaf sample,3.176,0.398844992,1.993056685,4.997070849,0.013735182,
280,S,Ambient,ABLA,2.26,9/16/2019,10:08,0:57,9:11,Separate LICOR leaf sample,1.571,0.401124933,0.506670042,1.263122785,0.013742132,
281,T,Drought,PIEN,3.19,9/16/2019,9:15,0:57,8:18,Separate LICOR leaf sample,1.085,0.892047674,0.914228888,1.024865502,0.033923356,
284,T,Drought,PIEN,1.35,9/16/2019,9:08,0:57,8:11,LICOR leaves = entire leaf sample,5.26,0.189752999,0.587051892,3.093768713,0.006712649,
286,T,Drought,PIEN,0.81,9/16/2019,8:59,0:57,8:02,LICOR leaves = entire leaf sample,1.689,0.29347833,-0.286130763,-0.974963851,0.010678791,
289,T,Drought,ABLA,1.07,9/16/2019,9:05,0:57,8:08,LICOR leaves = entire leaf sample,3.059,0.30841177,1.396209534,4.527095489,0.011184039,
292,T,Drought,ABLA,2.1,9/16/2019,9:12,0:57,8:15,Separate LICOR leaf sample,2.921,0.402778812,1.962409877,4.872177524,0.014737944,
298,T,Ambient,PIEN,1.13,9/16/2019,9:46,0:57,8:49,LICOR leaves = entire leaf sample,1.237,2.211822821,2.557381752,1.156232646,0.093385518,
299,T,Ambient,PIEN,1.48,9/16/2019,9:30,0:57,8:33,LICOR leaves = entire leaf sample,6.71,0.284608662,1.53008802,5.376111926,0.010203258,
302,T,Ambient,PIEN,1.9,9/16/2019,9:39,0:57,8:42,Separate LICOR leaf sample,5.267,0.292380378,1.186974139,4.059691518,0.010437587,
303,T,Ambient,ABLA,1.35,9/16/2019,9:34,0:57,8:37,LICOR leaves = entire leaf sample,4.326,0.455413421,2.254952335,4.951440231,0.016766266,
307,T,Ambient,ABLA,3.02,9/16/2019,9:42,0:57,8:45,Separate LICOR leaf sample,2.247,0.860699903,2.819176756,3.275446814,0.033030608,
